2024-04-22 23:47:26 status half-installed libattr1:amd64 1:2.5.2-1build1
2024-04-22 23:47:26 status unpacked libattr1:amd64 1:2.5.2-1build1
2024-04-22 23:47:26 install libaudit-common:all <none> 1:3.1.2-2.1build1
2024-04-22 23:47:26 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2024-04-22 23:47:26 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-04-22 23:47:26 install libaudit1:amd64 <none> 1:3.1.2-2.1build1
2024-04-22 23:47:26 status half-installed libaudit1:amd64 1:3.1.2-2.1build1
2024-04-22 23:47:26 status unpacked libaudit1:amd64 1:3.1.2-2.1build1
2024-04-22 23:47:26 install libblkid1:amd64 <none> 2.39.3-9ubuntu6
2024-04-22 23:47:26 status half-installed libblkid1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:26 status unpacked libblkid1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:26 install libbz2-1.0:amd64 <none> 1.0.8-5.1
2024-04-22 23:47:26 status half-installed libbz2-1.0:amd64 1.0.8-5.1
2024-04-22 23:47:26 status unpacked libbz2-1.0:amd64 1.0.8-5.1
2024-04-22 23:47:26 install libc-bin:amd64 <none> 2.39-0ubuntu8
2024-04-22 23:47:26 status half-installed libc-bin:amd64 2.39-0ubuntu8
2024-04-22 23:47:26 status unpacked libc-bin:amd64 2.39-0ubuntu8
2024-04-22 23:47:26 upgrade libc6:amd64 2.39-0ubuntu8 2.39-0ubuntu8
2024-04-22 23:47:26 status half-configured libc6:amd64 2.39-0ubuntu8
2024-04-22 23:47:26 status unpacked libc6:amd64 2.39-0ubuntu8
2024-04-22 23:47:26 status half-installed libc6:amd64 2.39-0ubuntu8
2024-04-22 23:47:26 status unpacked libc6:amd64 2.39-0ubuntu8
2024-04-22 23:47:26 install libcap-ng0:amd64 <none> 0.8.4-2build2
2024-04-22 23:47:26 status half-installed libcap-ng0:amd64 0.8.4-2build2
2024-04-22 23:47:26 status unpacked libcap-ng0:amd64 0.8.4-2build2
2024-04-22 23:47:26 install libcap2:amd64 <none> 1:2.66-5ubuntu2
2024-04-22 23:47:26 status half-installed libcap2:amd64 1:2.66-5ubuntu2
2024-04-22 23:47:26 status unpacked libcap2:amd64 1:2.66-5ubuntu2
2024-04-22 23:47:26 install libcom-err2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:26 status half-installed libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:26 status unpacked libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:26 install libcrypt1:amd64 <none> 1:4.4.36-4build1
2024-04-22 23:47:26 status half-installed libcrypt1:amd64 1:4.4.36-4build1
2024-04-22 23:47:26 status unpacked libcrypt1:amd64 1:4.4.36-4build1
2024-04-22 23:47:26 install libdebconfclient0:amd64 <none> 0.271ubuntu3
2024-04-22 23:47:26 status half-installed libdebconfclient0:amd64 0.271ubuntu3
2024-04-22 23:47:26 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2024-04-22 23:47:26 install libext2fs2t64:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:26 status half-installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:26 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-22 23:47:26 install libgcc-s1:amd64 <none> 14-20240412-0ubuntu1
2024-04-22 23:47:26 status half-installed libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:26 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-22 23:47:26 install libgcrypt20:amd64 <none> 1.10.3-2build1
2024-04-22 23:47:26 status half-installed libgcrypt20:amd64 1.10.3-2build1
2024-04-22 23:47:26 status unpacked libgcrypt20:amd64 1.10.3-2build1
2024-04-22 23:47:26 install libgmp10:amd64 <none> 2:6.3.0+dfsg-2ubuntu6
2024-04-22 23:47:26 status half-installed libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2024-04-22 23:47:26 status unpacked libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2024-04-22 23:47:26 install libgpg-error0:amd64 <none> 1.47-3build2
2024-04-22 23:47:26 status half-installed libgpg-error0:amd64 1.47-3build2
